tweet,Hate_Speech
"@BBCNewsnight @BBCTwo Oh BBC you’ve stuffed yourselves here, not many think Q is lying!!! But everyone thinks you are!",0
@FoxNews absolutely barbaric and this woman deserves an electric chair . Just too sad.,1
"The Kookiefied Edit 180824
(MY IDOL)

[Released today: BTS #IDOL MV YT; Beats1 Radio; Spotify gifphy+]

(cr: ame3_j… https://t.co/PzbVWYRGjV",0
"@TomLewwis @ajper0 @ToryLAD1989 @SkySportsNews @SpursOfficial Maybe playing for Spurs has driven him to this, no pun intended.",0
@Wolf_InTheWilds @danahull @CapitalLecter @Paul_M_Huettner @nhparks @The_Analyst @talesftf @business @n_rausch21… https://t.co/6khp3OCLAG,0
@ToriTay10247748 @NPR I am sharing your happiness! Just hoping it was a slow and painful death...,1
@kglimmer @georgiehunr @cnnbrk Errr.....weirdo.,0
"@realDonaldTrump @FoxNews Hate to tell you dotard, but @FoxNews  is not real...",0
@Eugene_Scott You guys are SUCH LIARS! If you heard a racial slur in his comments then I would suggest that YOU are… https://t.co/GYkwta5nl5,0
RT @amyguth: From the @wgnradio archives: a 1999 Milt Rosenberg interview with Neil Simon  https://t.co/DVhAFAobr5,0
"@Ri21317801 @astroehlein Breaking news: black africans taken from homes, forced to work by white people.",0
@FoxNews @RealCandaceO @realDonaldTrump 😂 I can’t😂 Is there an emoji for ‘face slap’?,0
"RT @EggheadThe: @MarinaHyde This ""people who fight neo-Nazis are neo-Nazis"" stuff will end in tears.

You genuinely disgust me.",0
"@jdawsey1 @TxsleuthUSA 40% of America is ignorant, greedy and/or racist.",0
@FoxNews Trump is a racist. He won't work with African Americans who oppose police brutality.,0
@guardian There are four colors of white women clothing,0
@NancyPelosi @CapehartJ @MSNBC @HouseDemocrats You should invite #CorrineBrown and #BobMenendez on with you to discuss #corruption.,0
@HotlineJosh @jaketapper @jmartNYT @alexburnsNYT I’ll take a knife!,0
@SebGorka @sarahjeong @nytimes The Democrat party loves its racist roots and embraces this at their core.,0
@jdawsey1 Still better than hearing that f*cking snake poem one more time.,0
Dallas-area cop sentenced to 15 years in fatal shooting of black teenager https://t.co/Li98nBK2GX via @USATODAY,0
@MailOnline Hope this Ebola won't spread!,0
@NBCNews He better be careful what he wishes for... November is coming!,0
"@timesofindia Hate mongers,",0
"@RealBillRussell @NFL @BostonGlobe @MSNBC @CNN You’re a hero, Bill.",0
"Que festa meus amigos que festa.. . Só bruxos presentes e umas vadias sem noção q se perderam lá, mas foi sensacional",0
@washingtonpost We will wait for a recording from Omarosa or another disgruntled white house staffer.,0
"Black Boys Feel Less Safe in White Neighborhoods, Study Shows   via @NYTimes https://t.co/YBCZj1rgcR",1
@seungminkim Go Johnny Go Johnny Go,0
@sunny Can’t wait for you guys to get back!,0
"@Scheherazade101 @valmcdermid @JaneSAnderson15 @brianlavery59 Naw, it's really @theSNP V The WM monsters. Really😉",0
White House paranoia deepens after Omarosa tapes @CNNPolitics https://t.co/tq86hmvXry,0
@GaryGibbonBlog Which is conclusive proof that Tories are racist bigots,0
"A white supremacist killed her, @NPR. It wasn’t a car accident. https://t.co/1gKRu1Okc5",0
UK Muslim women on Boris Johnson's racist 'burka' comments @AJEnglish  https://t.co/ZjF7uz4f8t,0
@JuliaHB1 Racist!!!!,0
@FoxNews White Cop Gets Only 15 years for the Murder of a black child.,0
@DanWoikeSports @latimes @taniaganguli @BA_Turner @AndrewGreif Congrats Dan! Who should I follow for Chargers now,0
@JoeHeim @Fahrenthold Some dinosaurs deserve to go extinct,0
@FoxBusiness @FoxNews Leave it to liberals to ruin an entire state.,0
@Worlknut @Peston @jeremycorbyn This has nothing to do w #LabourAntisemitism. You’re shockingly racist trying to di… https://t.co/jAtPvZPbzY,0
RT @TheStartupMento: This is the economic impact of speaking multiple languages https://t.co/0VEgDS47LX  #economy rt @wef cc @mikequindazzi…,0
White House paranoia deepens after Omarosa tapes @CNNPolitics https://t.co/QgWQ6qCr59,0
@joshspero @wallaceme Do you think gay people are under represented in the acting profession??? Really? 😂😂😂,0
@FOX4 I hope she gets the death penalty,0
"Here’s the Republican Party, YOUR party @johnjames a Nigger. That’s who Donald Trump and the GOP are.… https://t.co/0n76SlGUDB",0
@rawlins22444 @Channel4News @theresa_may @MichaelLCrick Your White supremacy belief shining brightly there Gordon!,0
@BBCJonSopel @BBCLBicker GDR used barbed wire to build their wall too.,0
"@theipaper Yes, yes! I’m sick of Gov shoving statistics down our throats &amp; forcing children down the “STEM” academi… https://t.co/vMQcGcYrye",0
@FoxNews “In white Jesus We Trust”,0
@K69atie @Eleffcee @MailOnline Let them rot. I hope they get the shot beaten out of them in jail.,1
@haaretzcom At least they don't kill them..,0
@BNightengale @DanWolken @USATODAY Hate this!,0
@glen @Ayola_M @realDonaldTrump @SecPompeo @TuckerCarlson @FoxNews Here is another idiot. https://t.co/rgKrIFGQRE,0
@SEALTeamWriters @K9Dasy @justinmelnick @SEALTeamCBS @CBSTVStudios @CBS Gorgeous Dasy! Sending Big Hug💙💙💙💙 https://t.co/Rp1GVBI7yn,0
@cobbo3 Reminds me of the African visions of old.... by 2020...this will be eradicated..by 2020... that...it is now… https://t.co/sRmmvQHMG8,0
@that_crane_guy @BBCBreaking White catholic supremacist guy to be precise!,0
"@NBCNews Dear NBC: White people have also been hanged.

Keep stirring the pot. You are the enemy of the public.",0
@DailyMirror Them Spanish people get everywhere don't they???,0
"@stevenlolson @GregShugar @realDonaldTrump @FoxNews He said most Americans 
I believe he could back that up. 

I will add that I hate him.",0
okay cool ig https://t.co/b5xhgS4ujz,0
"RT @RealCandaceO: There’s nothing quite like a white liberal elitist implying that a black man who started his life in extreme poverty, is…",0
@DCI_Kenya @NPSOfficial_KE @citizentvkenya @StandardKenya @dailynation @ntvkenya @NationBreaking @MpashoNews @K24Tv… https://t.co/DET3GZjH2r,0
@kevcirilli They are NOT entitlements. You sun- dried prune! We earned them.,0
@DailyMirror Shame he didn't get good fking kick with horse hind leg. Mad b*****ds having sex with animals.,0
"@NBCNews Non evil people do not have to ""learn"" not to sexually assault children!!!",0
"RT @mattsinger: Tom Hardy says his favorite “30 to 40 minutes” of VENOM were cut from the film.

So today, I call on the producers to #Rele…",0
@theJeremyVine She’s so white,0
"@FrankelJeremy @brianstelter Trump is leading a ""hate movement"" full of ""hate facts"".",0
@RichKingstone @mattwridley @thetimes I’m still worried! 😳,0
@BariAWilliams @Eugene_Scott “Catch these hands”...?,0
@DailyMail What is suppose to do? Pray on his knees for a man who hated him? Spare me! Enjoy your golf ⛳️. @DailyMail is a rag mag!,0
@nypost Hang them both for treason,1
Perine is OUT with an ankle injury,0
@nytimesworld The people exploited by the openborder #Zionist slave-drivers to expand the hate white people underclass in #America.....,0
@CarolLeonnig @Fahrenthold RIP sir. You served your country well. Blessings to your family. @MeghanMcCain @SenJohnMcCain,0
@joshgardner Got to appeal to the brexit voting morons that inexplicably vote Labour too before they start voting ukip... What a shit show.,0
"@Rooster72673813 @MLewisLawyer @vicderbyshire @sra_solicitors Oh go away  Ian, youre a fantasist, mycroft franchise my backside",0
@FoxNews Did they kill him?,0
@nytimes It's about time...hang them by their balls until they fall off,1
"57' Half-chance for Isaac Baldwin but he fires over the bar

NANT 2-1 FCFC",0
@FoEE_Antoine @1alexmason @SolarPowerEU @Eurogas_Eu @SamJamesMorgan @cinnamon_moll @taraconnollyGP @AncaGurzu… https://t.co/qvCjQqnqg1,0
@australian You Murdoch sycophants are assholes. You are largely responsible for this filthy mess,0
"Stupid is as stupid says.  #nytLIES  @nytimes peddles hate
https://t.co/tQtTioinC3",0
A vaping tax would kill people | @ConHome https://t.co/aonSFqVIB3 via @wallaceme,0
I've just watched episode S01E09 of Insatiable! #insatiable #tvtime https://t.co/IT8HamwdVg,0
@kjjwall99 @CNNPolitics The White House will hopefully soon be alive w Music 🎶 Of Indictments 😬🇷🇺,0
"@NPR Take him down, girl.",0
@m_j_taylor @Bloomberg @JenniferJJacobs @margarettalev i'll bet Sessions would want this to end right now. Trump mu… https://t.co/5y9QpR7MMQ,0
@cnnbrk because he is a racist?,0
@JennyEssential @BBCBreaking Hey jenny you. Shouldn't be so hateful.   You get what you deserve,0
@FoxNews Another political idiot,0
@RGrosjean Denver Colorado..,1
@scotsdemocrat @BBCDouglasF @scotgov Blah blah blah blah blah.  You must be fun at parties,0
@SalmaVxo @Yamiche @maggieNYT That’s bc his tongue is white 🤷🏽‍♂️,0
@FoxNews Trump Jr is itching to kill it,0
@MattCraigCosta @NBCNews Hope 90 percent of population dies from flu. For their stupidity,1
@ZeeNews I hate srk,0
"#Patriots Rally Behind #Infowars Amid Tech’s Total #Communist #Censorship
https://t.co/RLJUsGeG1p",0
@SkyNews Well then they are racist to not think so,0
White House falsely says Trump beat Obama on black employment https://t.co/i5AZuKdNHl via @bpolitics,0
@The305MVP @RT_com Get the fuck,0
@FoxNews I’d love to knock her teeth out,1
"@GrahamMead1 @BrexitCentral @oflynnmep What a Hypocrite you are !!
Project Fear comes from you lying Remainers who… https://t.co/grKse7c2zX",0
@Onlyfruits @ScuderiaFerrari @KevinMagnussen @autosport @andrewbensonf1 @HaasF1Team @Planet_F1 Ferrari threaten to… https://t.co/bfCKQVj4Pl,0
@FoxNews @SenRonJohnson @POTUS Fox is state tv,0
"@TheHRH @nypost You are correct. I really, really do hate Alex Jones' speech. How about you?",0
@CNN Sounds like trump to energize the white supremacy group?,0
@Brady54380847 @CNN When are whites abused for being white? Funny you didn’t talk about the white women that’s abus… https://t.co/0yRDMCVfqB,0
RT @mikeaimfire: @nytpolitics @nytimes NY Times Seems to Endorse Racist Narrative of #SarahJeong https://t.co/Koi7VP23NX,0
@MSNBC @MalcolmNance Well he can't fire them all so just force them out by screwing them over. https://t.co/s59MCJD6oI,0
あ＾～,0
RT @u_mi__u_shi: 今朝はめちゃくちゃ慌ててる時に長男2歳が「まま、おちゃ、こぼしちゃったぁ」と言いに来てくれて見に行ったらリビングに広大なお茶の海が広がってたんですけど、声を荒げず「こぼしちゃったけどちゃんと言いにこられてえらいね～ありがとね～」って言えたので１…,0
@Rcfreiitas @Flamengo 😇,0
@despanol203 @FoxNews Huh? American citizens dont commit rape? Confusing,0
@7926rw @fordnation Listen. The Liberals in Ottawa have always made it clear to the rest of Canada that they want i… https://t.co/ihDcmmy6Qx,0
@ABCPolitics @ABC FAKE NEWS,0
@FoxNews Another democrat Nut Case,0
"@Eugene_Scott Roseanne just got fired by ABC for a similar comment. 

And politician who stoops to Roseanne's level… https://t.co/RQsbRmC4JU",0
@arnie_booth @DPJHodges Stick to your own failed party. You libdem Tory,0
@Newsweek these ppl working like helpless hiding looking for syrian jesus will come but jesus will not come if anyb… https://t.co/XxADdCm0Kk,0
@Nisha_thakkar9 @bcomininvisible @Channel4News @SayeedaWarsi Grow up. I condemn those who kill people in the name of cow.,0
@HoarseWisperer @BurgSkeletal @_memorable2 @SouffleOfTheDay @AliVelshi @Violetskyye @MrDane1982 @McBlondeLand… https://t.co/jYjqIiiNmF,0
"@getongab @brianstelter @jack @CNN Do you ban hate speech on your site?
https://t.co/SDFeUj8z1Z",0
@timesofindia Only 4 million miles close. Almost touching.,0
@FoxNews Stupid Fox Entertainment News,0
"@sarahjeong So you are hiring a racist, @nytimes?",0
@nytimes Is this your Racist editor?,0
@TheSun Omg what evil people hope there get what there deserve .grrrrr,0
@FoxNews @dougmckelway Porn star first lady’s parents just because US citizens by chain migration. Disgusting hypocrites,0
https://t.co/T8YjbXMMXD,0
"RT @DavidChampkin: @CourtNewsUK If he is foreign born,deport him after sentence",0
@DailyMirror The only place that horrible bastard should be freed to on Xmas morning is the firing squad yard!!,0
@liamgray542 @SkyNews @houseoffraser @AshleyOutdotcom @IfRafaGoesWeGo @TheMagpieGroup_ Lazy also it seems.,0
@OwenJones84 Typical answer from people who said that have not any ideology- meaning conservative- o people who has… https://t.co/ORTh7oY8oS,0
@FoxNews @RealCandaceO @realDonaldTrump There’s proof he lies a lot and when this is all said and done he’ll be rem… https://t.co/9npmh95hhj,0
Hey @CNN @MSNBC @ABC @NBCNews  @FoxNews let's Stop #monkeythisup,0
White Texas police officer found guilty of murder for fatally shooting black teen in car https://t.co/HNfk1GuCGM via @nbcnews,0
@Newsweek 2020??? I'm hoping the prick will be in jail by then,0
Trump says Google results are 'rigged' against him but here's what happens when you search for Hillary Clinton… https://t.co/1v0hjLoDc1,0
@iamracy @ABC Exactly quite pathetic.,0
@FoxNews @PressSec @realDonaldTrump so snoop dog got to change his name because it's racist to call him a dog ?😂,0
@fggovetto @AP Did you know they are disarming white farmers in your homeland of South Africa? They are doing this… https://t.co/SYRvXakp1H,0
@CBSNews Disrespectful White House!!!! 😡,0
"@CNNPolitics Our racist ""President"" didn't mean white immigrants!",0
@nypost He should kill himself.,1
"We tried to warn you @CNN
But, no, you wouldn't listen
You should consider bankruptcy CNN
All those poor poor repor… https://t.co/TMSt2LerJe",0
@libbycwatson @mattdpearce That is a legit hardship and I feel sorry for you guys that the sun is trying to kill you,0
"@astroehlein A view, then a kill.",0
@MirrorBreaking_ @DailyMirror Hang this bastard 😡😡😡,1
@haaretzcom all i can say what a nasty horrible apartheid state is israel this is just cruel,0
@HuffPost Yes she could well be a racist,0
@CGTNOfficial Rigth thing would be to let China in this group,0
@11_Panama_ @MirA75395363 @HuffPost It's a little strange he killed himself after only 4 days. Something else was going on,0
@kolumbinek @amadarama2 @CBSNews @CBS Lol comin from someone that is freaking out about seth rich in 2018,0
@MSNBC Radical Islamist hussein was/is racist.  Trump is not!,0
RT @matii_tavares: Odeio sentir saudades :(,0
"RT @100stagram: [Instagram satgotloco]
백현X로꼬 - YOUNG 31일 오후 6시 발매 ⭕️🙌 https://t.co/oifTKX3uYu https://t.co/vdiqhYVSex",0
@FA are you allowing kids to take water bottles into Wembley tomorrow with temp reaching 30 degrees,0
@ABC The entire reason you are in the White house is because this is true.,0
I’m actually really excited to play this game lol. #PokemonLetsGoPikachu #PokemonLetsGo #Pokemon https://t.co/w6SqsoTbWb,0
@washingtonpost A sleazy lawyer with a Clinton payback agenda representing another sleazy lawyer trying to save his own ass by “composing”,0
@MirrorFootball Where is this news coming from?,0
Damn!!! Don’t know what’s more painful to see. @Bengals Tyler Eifert’s ankle or his Mullett!! Hope he’s ok but dude… https://t.co/vKkhVq45RD,0
@ccw281 @HuntsmanAbby @abcnews @WhoopiGoldberg @JoyVBehar @sunny @MeghanMcCain I agree she should go back to Fox,0
"@NBCNews We celebrate our 50th anniversary this year Sep 12-16, 2018 at Giant Center in Hershey! Learn more about A… https://t.co/92afSyPFR3",0
@MSNBC @JohnBrennan Your just jealous because you know he is doing a better job then any president in our lifetime. Brennan retire!!!,0
"If RaGa says in foreign economic forum that ""Indian economy is in poor state"". Isn't he trying to stop foreign inve… https://t.co/ylWrpA74et",0
@j_alondraa11 @ him,0
@Evan_McMullin @AnaCabrera @CNN Oh so now he wasn’t a journalist for wa Po he was a Propaganda pusher just in USA o… https://t.co/HJ4aZpSu0V,0
@SkyNews Like to know where it’s going to be made.,0
@maggieNYT Next there will be hordes of white South African asylum seekers. Be careful they will only be sending their worst people.,0
@AP This proves that PETA is unhinged and @nabisco is laughable for listening to them. Corporate America is pathetic.,0
"The verb is transitive, @WSJ. You should omit the “for.” https://t.co/kuw6mIaDo7 https://t.co/N2z020i3Tt",0
@itvnews @BorisJohnson Boris care to reply another child unknown to the press till now you're a deadbeat dad 😕 https://t.co/ywcQdJAQVo,0
96-year-old Betty White shares some TV memories https://t.co/VNkb801wdW via @nypost,0
"@WiseyZondo @PalmerReport @realDonaldTrump @SecPompeo @TuckerCarlson @FoxNews Oh, that's the white south African farmers association flag?",0
"@realDonaldTrump @SecPompeo @TuckerCarlson @FoxNews White people stole land, land must go back to blacks.",0
"RT @tanebiofficial_: ◆応援よろしくお願いします‼️◆
10月7日(日)開催の2018ところざわまつり「Live Circus」にTANEBIがエントリーいたしました！審査を突破した上位3組がライブ出演！選考基準はエントリー投稿への皆様からの「いいね」「コメ…",0
@RuleBritons @Complyorcry @UKIP while also endorsing hate speech,0
@JamesDelingpole Vegans make great fertiliser.,0
@FoxNews @RCamposDuffy @POTUS FAKE FOX NEWS SPREADING MORE LIES TO TRY TO PROTECT RACIST TRUMP.,0
@CapehartJ Like only white people can be?,0
@JenniferJJacobs This White House has ethics lawyers?,0
"@brianstelter For Chissakes Stelter, your bias is eating you alive. Not sure what will kill you first, TDS or bias.",0
@itvnews @RohitKachrooITV No No no simply no!!. Feck him!! let him rot outside Britain!!😠👎,0
@ikalin1 @nytimes Shame ..,0
@MSNBC Daffy daddy girl what a sick thing.,0
@theage I never thought I’d be so thankful that @TurnbullMalcolm is still PM. Dutton is pure evil,0
@JimmyWe58329038 @FoxNews @cvpayne Whatever you say racist Jimmy.,0
@WilliamJDry @guardian You don't join the army to die for your country.,0
@GeraldoRivera So have you told @seanhannity and the rest of @FoxNews this!!!,0
"@Morris2906 @StevenJNorris @BBCTomEdwards guns don't kill people, people kill people. ;-)",0
@CBSNews Including people other than white men in your graphics?,0
@SaintHeartwing @PassiveObser7er @KyleKulinski @Nonna_x3 @jaketapper That doesn't mean you're absolved of any guilt… https://t.co/KHAiSykbPv,0
@culbert_w @ABC Nah it’s most likely a white guy or ratchet black,0
@guardian_sport @Cricket_Ali Surely highlights what an appalling job Bayliss is doing? Can he speak! 😂#baylissout,0
@BetzPete @MSNBC Well don’t choke,0
@Emma_Dumain @Fahrenthold Something about picking winners and losers?,0
@NBCNews @NBCSports Jim Brown is now racist,0
@MSNBC @craigmelvin This really is unbelievable ..How many people are on his payroll?  Every republican senator?,0
Family of white cop who shot black man insist they aren't racist https://t.co/gRrCjS5hzV via @MailOnline,0
"RT @ndtv: Malaysia to abolish death penalty, says minister https://t.co/TdFHKFOqQC https://t.co/BGc7YnOyCG",0
"@NBCNews Only the racist, hate mongering, violence promoting, conspiracy propagating, right wing propaganda spewing FAKE NEWS machine.",0
@DeansherryS @MSNBC @JuliaEAinsley @KatyTurNBC Let’s hope he is not going to get away with all of this. Jeez,0
"@Newsweek If you're worried that someone may flip on you, you're probably an awful person.",0
@rblakerich_ @latimes Congrats Blake! You're crushing it!,0
@USATODAY Hope they bite him in the Ass.,1
@pigcookn @JChengWSJ @thegarance Holes through them.,0
@kasson_wvu @edyong209 @ZombieAntGuy @CharissaB @mbeisen @hyphaltip @cicadamania Wow! Those are awesome looking fruiting structures!,0
@MailOnline lies! you are just alt right trolls!,0
@susanmuchhala @FoxNews Well to be fair ronald reagan liked those terrorists enough to invite them to the white house,0
"RT @_Hadis_: “Sabah namazını kılan kimse Allah’ın himâyesindedir..."" (müslim ) 

Huzura ❤
 Senden başka siginacak kapi yok Allahım.",0
"@becclestown @wheat_daddy @treacledinosaur @sunkfarmer @michaelgove @DaveGoulson Deter deters slugs it does not, in… https://t.co/tVJEjmwVC7",0
"@AFPceleb @AFP ✓  Live fast
✓  Die young
__  Leave good-looking corpse",0
@EricTrump @washingtonpost @JeffBezos How many people has your father openly preached hate towards? It’s called karma.,0
@jonkarl @WalshFreedom @realDonaldTrump is mentally ill that is for sure,0
"@melaniepeppin @globeandmail looking at your site makes me think, what are you selling",0
So you r saying #Trump n #Tucker r racist but not as bad as others mm interesting. How about Racist Lite for Trump… https://t.co/Fnqe7EMuK2,0
@CNN @CNNOpinion He's either going to die from his horrible health habits soon or will be so embroiled in all the l… https://t.co/FmGBWRy8IW,0
@JamesVGrimaldi @WSJ Republicans will be crying  once this guy start talking..  cry cry cry,0
People In marriages are just being in the role players playing dress-up,0
@sashasimic @itvnews @Peston Being against Jewish immigration into Palestine is racist. It’s not their fault the Ar… https://t.co/V5QaYqrwrN,0
@MrDanZak I hate everything,0
@lilfingerstrump @TheEconomist You're very ignorant.,0
@HuffPost Those low end shit kicking crackers,1
@BostonGlobe Let’s just let him be dead.,1
@greentree1001 @STVNews @NicolaSturgeon @theSNP Stupid boy!,0
"@BBCOne @bbcapprentice What a complete bunch of morans, painful to see them all think they are great 🤔",0
@HuffPost Donald should start his own star walk at the White House!,0
@christinawilkie @evanvucci @AP Hate rallies .,0
@meena2665 @ndtv What makes you think they are not that stupid. They obviously are!,0
"@ParadigmRuth @HJahannam @ABC Removing people from their homes, taking them to a point not far from their homes and… https://t.co/VXUX1S59YX",0
@Georgia1006 @LeslieJR67 @AnkhPoet @msleen1970 @RahmaBeing @AprilDRyan @MailOnline What? I see British politician. Wake up,0
@nytimes NY Times hires RACIST.                    NY Times = Enemy Of The American People,0
@numinhaaa @sentalagiu KKKKKKKKK,0
@realDonaldTrump @CNN @NBCNews When will you be fired for your incompetence ?,0
@7im @NPR Hate those murdering autonomous vehicles.,0
"@costareports @realDonaldTrump The first thing we do, let’s kill all the lawyers.",1
@Ijazh1421 @AmrullahSaleh2 @ResoluteSupport @Commander_RS Pakistanis all here... Who doesn't like Taliban to be killed,1
@Rory__Cook @BBCBreaking What a stupid thing to say. Haven’t you anything better to do? This isn’t the time for humorous remarks. Not funny.,0
@jeanjeany111 @FraserNelson Nope. He mocked the women wearing it. Purely to serve his own interests.,0
"@RudyGiuliani @jaketapper And 2 think, u will forever have 2 live knowing that he died thinking otherwise because o… https://t.co/xiJJqlpEzO",0
@SkyNews Probly Boris Johnson on a bender,0
@HuffPost We humans do realise white SA farmers stole that land from blacks in raids during apartheid?,0
@QualitySMC @bestnaunieever @DevinNunes @realDonaldTrump @MSNBC Democrats rage never makes sense.,0
"WE ALL LOVE THE BEAUTIFUL GIRLS by @JoanneVProulx is one of the best books coming out this week, according to… https://t.co/2W1IePD399",0
@SInow @SITimLayden Fuck @SITimLayden,0
@SundayTimesLC I hope Mr Candy remains strong. Buffets everywhere are watching his next move.,0
Healthy food is trying to kill us @CNNI https://t.co/jJcWKZaMwE,0
@juliaioffe Makes you feel stupid for calling tru@p a Nazi when people like this exist.,0
"@CapehartJ @RepMaxineWaters @amjoyshow Your only 80, I thought your were at least 97...",0
"@maggieNYT For the past 3 weeks it was ""lock him up"", ""castrate him"", ""rape his daughter"".... WTF!!! Maggie. You ar… https://t.co/ATfZctV0hw",0
@in_streatham @BBCMarkSimpson You're deluded they locked up kids play grounds chained the swings on  a Sunday impos… https://t.co/349ZSpZY9p,0
@nypost Burn in hell dude.,1
@PeterHamby @senatemajldr lives by the double standard. He has created rules to suit his goals. He’s blinded by his… https://t.co/szPCCIEBdC,0
