Mike,,id,created_at,text
N,9592,1.23417E+18,Sun Mar 01 17:49:18 +0000 2020,"They still don't have the rights of white people, I am a white man from the south and I've seen it up close and it is one of the reasons that my wife and I moved out, Sunday, Bloody Sunday  State-sanctioned violence in response to Black people marching to end voter suppression.   Marchers did not attack back so that who the oppressor was would be evident.   They had a goal.   We’re grateful.  #VotingRightsAct #RestoreTheVRA #Selma #Selma55 https://t.co/Evi5QzFNbA"
N,206105,1.23567E+18,Thu Mar 05 21:08:09 +0000 2020,Nicki stans shouldn’t be able vote if I’m being quite honest we should put the voter suppression laws they did to Black people to Nicki stans
N,238843,1.23639E+18,Sat Mar 07 20:45:29 +0000 2020,"55 years ago today, nonviolent civil rights activists—including my friend @repjohnlewis— were violently attacked as they marched against segregation and voter suppression.   Today and every day we are grateful for the sacrifices they made in the fight for equality.    #Selma55"
N,119007,1.23522E+18,Wed Mar 04 15:12:58 +0000 2020,@RBReich We need Bloomberg &amp; Steyer to:  Help stop voter suppression  Get voters to their voting place when suppression is happening  Blast the airwaves with anti tRump ads  Go on news shows &amp; show the voter suppression in real time  #VOTEBLUENOMATTERWHO up &amp; down the ballot
A,197420,1.2356E+18,Thu Mar 05 16:19:54 +0000 2020,@realDonaldTrump STICK IT TO THEM!! What about those that were issued Drivers Licenses?! When will Voter ID become Federal Law?! When will voter fraud be punishable by death?!
N,119858,1.23522E+18,Wed Mar 04 15:21:14 +0000 2020,@MSNBC We need Bloomberg &amp; Steyer to:  Help stop voter suppression  Get voters to their voting place when suppression is happening  Blast the airwaves with anti tRump ads  Go on news shows &amp; show the voter suppression in real time  #VOTEBLUENOMATTERWHO up &amp; down the ballot
N,215118,1.23579E+18,Fri Mar 06 04:45:18 +0000 2020,"I believe there is a lot of voter fraud in CA I don’t trust the elections.Through DMV many non citizens were registered to vote and I believe they vote!That, along with vote harvesting have made a mockery of CA voting. California Republicans Lead in 6 of 7 Districts Lost to Democrats in 2018 https://t.co/9eLhZGqY07 via @BreitbartNews"
A,159667,1.23533E+18,Wed Mar 04 22:05:08 +0000 2020,"The GOP is an irrelevant and obsolete group of old, omniscient and arrogant white men who feel their station in life is to obtain obedience from others while counseling them on their behavior. They were a perfect mark for nefarious activity instigated by oligarchs.  #FuckThemAll. Top Trump adviser: Republicans have 'always' relied on voter suppression https://t.co/pC6d68k2z8"
N,123523,1.23523E+18,Wed Mar 04 15:58:02 +0000 2020,"the reason texas goes so fucking hard on voter suppression btw is because they know the moment they dont conservative politics in this state are good as dead, the only conservative people in texas are politicians"
N,11273,1.23421E+18,Sun Mar 01 19:59:31 +0000 2020,@dodgybint @descobar91 @TheCheekyGinger @decaro_nick Gross. Repellent in every conceivable way... all the way down to the racist voter suppression.
N,132130,1.23526E+18,Wed Mar 04 17:27:51 +0000 2020,@arden_messing @JoeBiden Closing polling stations in majority minority neighborhoods makes voter suppression in the Democratic Party very real!!
N,214007,1.23577E+18,Fri Mar 06 03:14:13 +0000 2020,"If it was ever about turnout it's this year. It's about ""this time your country needs you"" to everyone we meet in every place we meet them. And then make polling lines fun and comfortable. With childcare. Don't let the line itself be voter suppression. #TeamWarren"
N,195644,1.23559E+18,Thu Mar 05 15:21:20 +0000 2020,"@RepAdamSchiff Oh Adam, one more time! Going to blame someone/something else once again! This time it’s the polls closing to “control” votes! How about the lack of voter ID, hmmm wouldn’t want those illegal voters stopped would we? This guy could have voted by mail weeks before, but didn’t!"
N,125229,1.23524E+18,Wed Mar 04 16:15:01 +0000 2020,"@cmclymer This guy acting like voter suppression is only affecting Bernie. It’s Texas. Every dem in that line was getting screwed and dems in power have been fighting against rigged elections for decades. As usual, berners can’t see anything but Bernie being wronged."
N,199510,1.23562E+18,Thu Mar 05 17:26:16 +0000 2020,voter suppression is the worst - won't let me request my mail in ballot in peace. Luckily I'll be in town - so I got time.
N,164760,1.23534E+18,Wed Mar 04 23:12:14 +0000 2020,💥💥💥Boom💥💥💥👇🏼👇🏼👇🏼 https://t.co/4lcrUNho1T Every time there’s a shooting Democrats call for gun control. Why don’t they call for voter ID every time there’s voter fraud.
N,220938,1.23599E+18,Fri Mar 06 17:48:10 +0000 2020,@hiygay @fernseasons Ofc there was also voter suppression in Texas which really hurt minority communities. Some people had to wait in line 4+hrs to vote on Tuesday.
N,106791,1.2352E+18,Wed Mar 04 13:27:45 +0000 2020,@Throwaway21_ @PALNUD10 @EdgeofSports What do you think brought us Trump? What follows a do-nothing Democratic administration? IMO it'll be something worse than Trump. So you do your big picture and leave me out of it.  And it's a good thing the DNC doesn't engage in voter suppression.
N,218347,1.23592E+18,Fri Mar 06 13:40:45 +0000 2020,"@val_tigress @robittybobnob @MailOnline Zara also stole her seat, voter fraud https://t.co/Cloctm1GBI"
N,25475,1.23428E+18,Mon Mar 02 00:54:22 +0000 2020,Xormedeso Belbera became the professor of the isolated manse through egregious voter fraud. They went on to enact bubbling laws and build a regime of slaughter that would last for centuries before falling to sadistic defeat.
N,182137,1.23542E+18,Thu Mar 05 04:26:52 +0000 2020,"@JulieSmithM I understand and I believe that Maddow is wrong many times including when talking about Iowa but she's right on this one. Super Tuesday was bad because of youth turnout, whether it be voter suppression or not, people didn't go to the polls and that's a problem."
N,130771,1.23525E+18,Wed Mar 04 17:11:19 +0000 2020,@syl20carle @CanadianGreens @CBCNews I would add that the report is missing an investigation into election fraud. #FakeNews #DefundCBC   Reminder: A free press is essential to keep corruption at bay. It’s a pillar of our Parlimentary democracy.  Has anyone noticed #PPC peeps are Canada’s news now?  #WeAreTheNewsNow https://t.co/xY0LS6M2SK
N,205823,1.23567E+18,Thu Mar 05 20:59:13 +0000 2020,"@wholesomeBhris If you are able to vote and choose not to that’s not a political action that’s being inactive. So many movements were born because many believed that voting is a right not a privilege and yet in 2020 MANY PEOPLE still can’t vote cause of voter suppression,etc."
N,63978,1.235E+18,Wed Mar 04 00:22:48 +0000 2020,are we surprised? like at all? provisional ballots are the most low key method of voter suppression BREAKING: Machine Malfunctioning Forces East LA Voters to Vote Provisionally. https://t.co/1KOa6fLQVp
N,195929,1.23559E+18,Thu Mar 05 15:29:58 +0000 2020,@SamuelJohnWhit1 @GOPChairwoman @realDonaldTrump They want the illegal votes which they are encouraging.  It isn't going to help them.
N,163742,1.23534E+18,Wed Mar 04 22:57:04 +0000 2020,@tifinblm @pookietooth @akvawe66 @Penguin_SYLS @imvala @medwoman1 @PersevereEver @miss_simone247 @Markholiday13 @PoliticsPot @DonnaShank10 @newsjunky2 @MenVoters @gorillastyle @niggafactory @SeanTDel @fitts_dr @zaharias19 @Jeanetteisback @crookedpinkie1 @Counselor70 @ThereseOSulliv2 @GoofyGary7 @RedArmyQ17Trump @BuilderGuard @BMcCodeOvets125 @MManselle @20bluetsunami20 @ParonoidThe @KaMac76 @CunningMarshal @QuidRises @annableigh @dandavisdandavi @HouseOfJames2 @dam0n_n0mad @yooper3215 @Grandma_Boom @grimm_resist @camp_terrence @KelliPenney @TrumpSugar @calijeff1 @SpaceForceBravo @LauraGramm @Skinsnrugby @BobC7000 @JLinMiller @GhostRollo @gonehunting1776 Meth labs are a thing. In-person voter fraud is a myth.   Please vaccinate your children.
N,3665,1.234E+18,Sun Mar 01 06:16:10 +0000 2020,"@r_wolfcastle And then the next time the Democrats register ineligible voters, like the dead in Chicago, jail time!  Which, of course, is why neither party will pass such legislation."
N,167276,1.23535E+18,Wed Mar 04 23:51:07 +0000 2020,@tressiemcphd @MeganMunroe4 @Spelmanite88 I think you are mistaken to see this as an argument that black voters are at fault. Black voters did not create voter suppression. Black voters did not direct Russian disinformation. Black voters were not responsible for HRC campaign's failure to do reach out to elevate turnout.
N,206146,1.23567E+18,Thu Mar 05 21:09:46 +0000 2020,"The GOP has no bounds when it comes to voter suppression and they’ll use the virus as a tool to help Trump stay in office for sure. This thread shows some of the things I believe they’ve already been planning and how the DNC should prepare (THREAD) I see many stories on the Coronavirus, many on the election, a few on the politics of the Coronavirus, and virtually nothing on how the Coronavirus could interrupt election season. Isn't that a conversation analysts should at least *begin*? I try to do so in this thread. https://t.co/sNFJaKMYGP"
N,132299,1.23526E+18,Wed Mar 04 17:29:37 +0000 2020,@davidsirota Closing polling stations in majority minority neighborhoods makes voter suppression in the Democratic Party very real!!
N,196530,1.23559E+18,Thu Mar 05 15:49:38 +0000 2020,No ID no voting! I wonder how many dead people vote on Tuesday in California?  Voter Fraud!  Must be stoppedd Are California voters stupid OR do we have a massive voter fraud and election integrity issue in this state? I’ll discuss my findings on @foxandfriends in 10 mins. https://t.co/wRjlKeKI0A
N,52552,1.23473E+18,Tue Mar 03 06:35:11 +0000 2020,"Oh MY, I love this so much. Even if they steal this election through voter suppression, DNC or convention maneuvers, No one can stop this movement. #BernieSanders2020 Minneapolis, Minnesota   https://t.co/tgCYnMycoe"
N,37925,1.23451E+18,Mon Mar 02 15:48:31 +0000 2020,@KavanaghW17 @DonCheadle The only way Republicans win is by voter suppression. Still missing the whole point of the tweet because Trump supporters don’t like facts.
N,39681,1.23452E+18,Mon Mar 02 16:56:09 +0000 2020,"@davidmweissman Part of the voter suppression efforts that have been going on for years, but are ramped up more and more every year."
N,72868,1.23508E+18,Wed Mar 04 05:39:06 +0000 2020,https://t.co/RK98sKv7h0 send pizza to the polls and please help fight voter suppression
N,94015,1.23515E+18,Wed Mar 04 10:25:30 +0000 2020,"@abe1776 https://t.co/SxhuSZcO7e active voter suppression is the real reason Mr Abraham Jackson, they were closing polling places at 11am on super Tuesday here, and this is the guy  you want? Two veterans confronted @JoeBiden about his record of supporting war during his campaign stopover in Oakland on Super Tuesday. Read more here- https://t.co/ushpLvVXK5 #DroptheMIC #NoMoreWar #VetsAgainstWar https://t.co/M7iGZa7DOs"
N,179607,1.23541E+18,Thu Mar 05 03:25:24 +0000 2020,"@bbennett310 @ananavarro Hahaha okay bro..... how many hours have you volunteered, how many new voters have you personally registered, how many marches and protest have to done against voter suppression?"
N,44534,1.23457E+18,Mon Mar 02 20:08:50 +0000 2020,@DonCheadle But I thought @RealCandaceO &amp; the other Black fake conservative hustlers said voter suppression was a Democratic myth.
N,145428,1.23529E+18,Wed Mar 04 19:29:16 +0000 2020,"@nhannahjones I live in a wealthy, white area. I was in n out in 10 minutes max. This is a form of discrimination and voter suppression..and why I vote blue."
N,224642,1.23604E+18,Fri Mar 06 21:39:08 +0000 2020,"4. I refer to them as angels of death, for a reason.  The guilty always confess, especially in moments of great stress...like this.  https://t.co/sC3YumiflO  National Nurses aka acorn moonlighting as... 🎶visiting Angels... America’s home for... voter fraud 🎶  cc @POTUS check OH https://t.co/YVhahFKq44"
N,202870,1.23565E+18,Thu Mar 05 19:28:48 +0000 2020,@DonaldJTrumpJr Because Demoncrats want illegal voters.  😒 They can't win any other way. 🔴
N,62753,1.23499E+18,Tue Mar 03 23:37:22 +0000 2020,"@Analilia_Mejia @AlexPadilla4CA @LACountyRRCC @Rafael_Navar @BernieSanders It’s not a bug but a feature, hang in there against voter suppression!"
N,130142,1.23525E+18,Wed Mar 04 17:04:05 +0000 2020,"@Kiltsnbagpipes @Ser_Zatarra @FriendOfTheYeti @BernieSanders There was active voter suppression going on in LA county and in working class neighborhoods in Texas yesterday, but your kind doesn't give a shit about that.   7 hour line on a university campus and you're gonna pretend that young people just didn't show up?"
N,44428,1.23457E+18,Mon Mar 02 20:03:11 +0000 2020,"We should have begged HRC to run again. BEGGED HER.  She won the popular vote by 2.9M and lost EC vote by only 79,316 votes across three states.  After 4 yrs of Trump we coulda flipped 79,317 voters to HRC no problem.  What the fuck are we doing?"
N,88379,1.23511E+18,Wed Mar 04 07:59:26 +0000 2020,"@guycecil @palfriendpatine Seeing these photos of the ridiculous lines at US polls makes me sick. It is voter suppression, plain and simple. The last time I voted here in Aus, it took less than 30 minutes including travel time. Americans deserve better. Indigenous/Black/Latino voices must be heard."
N,34707,1.23446E+18,Mon Mar 02 12:54:18 +0000 2020,"@marthamaccallum What is his plan to limit voter fraud in the 2020 election? Fine if he doesn’t want to share the details, but let us know he has it under control..."
N,33413,1.23442E+18,Mon Mar 02 10:23:17 +0000 2020,@marthamaccallum I am extremely concerned with voter fraud and dirty voter rolls. Illegals are being automatically registered to vote through the DMV and many states do not have to show an ID or proof of citizenship to vote! What is being done to prevent this?
N,31372,1.23435E+18,Mon Mar 02 05:47:44 +0000 2020,"@Nate_Cohn Two questions:  1. Who did the new, white voters primarily vote for?  2. Was black turnout flat because of GOP voter suppression?"
,36409,1.23449E+18,Mon Mar 02 14:41:21 +0000 2020,"OH shit -Here we go again, Republican voter suppression! Texas closes hundreds of polling sites, making it harder for minorities to vote https://t.co/SFUEaV6Lts"
,187354,1.23549E+18,Thu Mar 05 09:01:07 +0000 2020,"@NamvetSurvivor yes, he is just a vote getter. others would rule thru him.. and the only way that guy could win is with massive voter fraud."
,3998,1.23402E+18,Sun Mar 01 07:22:23 +0000 2020,"@axanner Death threats, blackmailing (mostly using women like Prepaid Shiuna), character assassination, defamation, bribery, corruption and vote rigging are the tools by which MDP has got where they are now. @MDPSecretariat @MohamedNasheed"
,190157,1.23554E+18,Thu Mar 05 12:20:39 +0000 2020,"That's a tough one, because a lot are, and I don't know how many aren't. #(stupid.) Are California voters stupid OR do we have a massive voter fraud and election integrity issue in this state? I’ll discuss my findings on @foxandfriends in 10 mins. https://t.co/wRjlKeKI0A"
,60841,1.23496E+18,Tue Mar 03 21:35:32 +0000 2020,"@TeamTrump Ca is committing voter fraud in so many ways here. Trump on R ballot only,must ask for R ballot to vote for Trump, changing voters reg party, leaving R’s off down ballot’s, to name a few things. More R’s here Trump voters"
,22395,1.23426E+18,Sun Mar 01 23:24:55 +0000 2020,"@advancedflea Did he though? 3 million votes less than Clinton. And that's with Russian help and serious voter suppression. I'm not anti-Trump. I'm just anti-asshole, anti- narcissist, anti-corruption, anti-corruption, anti-anti-science, anti-pussy grabber, etc. He just fits them all."
,163987,1.23534E+18,Wed Mar 04 23:00:35 +0000 2020,"Agreed. I have EVERYTHING Bernie stands for. But this election rigging by the Democratics must be stopped. I LOATH Bernie &amp; his supporters but what the DNC is doing to them goes beyond the pale of what any foreign government interference could ever do. They make the Russians look like AMATEURS!  Hang it up Bernie Bros &amp; save your $$ it's over, if u don't know that by now you're fools."
,210575,1.23572E+18,Thu Mar 05 23:58:59 +0000 2020,@cattinks @en_volve That’s some crxx.  Every county in Virginia could NOT have gone to Biden. No way. There are definite red counties.  This had to be voter fraud!!!!!
,237962,1.23637E+18,Sat Mar 07 19:28:03 +0000 2020,".@NatSecReporter .@Greg_Palast .@mcrispinmiller .@BevHarrisWrites 👀 Anyway, if you think I'm nuts, there's an HBO documentary from I believe 2006 that covers Black Box Voting, election fraud, and the Bush campaigns in 2000 and 2004.  This was a totally normal thing to discuss for non-ideologes/conservatives in the mid 2000's"
